pedido_id,transportadora_id,data_fatura,custo_repassado
444,2,2026-08-28,19.37
143,2,2026-08-28,45.1
428,2,2026-08-28,38.63
190,2,2026-08-28,37.93
344,2,2026-08-28,31.49
480,2,2026-08-28,61.9
37,2,2026-08-28,56.47
88,2,2026-08-28,50.99
126,2,2026-08-28,23.93
195,2,2026-08-28,31.71
474,2,2026-08-28,58.72
286,2,2026-08-28,28.03
167,2,2026-08-28,73.53
398,2,2026-08-28,16.08
421,2,2026-08-28,14.34
162,2,2026-08-28,41.29
34,2,2026-08-28,27.4
483,2,2026-08-28,53.4
368,2,2026-08-28,34.97
336,2,2026-08-28,48.44
453,2,2026-08-28,78.76
235,2,2026-08-28,22.43
72,2,2026-08-28,30.0
288,2,2026-08-28,51.35
383,2,2026-08-28,54.67
460,2,2026-08-28,54.6
186,2,2026-08-28,28.01
71,2,2026-08-28,49.2
47,2,2026-08-28,67.17
441,2,2026-08-28,20.0
